sample,NMFS_DNA_ID,BOX_ID,BOX_POSITION,SAMPLE_ID,BATCH_ID,GENUS,SPECIES,STATE_F,WATERSHED,WATER_NAME,wn_abbr,region,ndata,nfiltered,nmiss,fmiss,nsites,depth
s0073,AP028695,AP302,9C,11MIR_0008,4478,Alosa,pseudoharengus,Canada,Miramichi River,Miramichi River,MIR,CAN,11884669,0,2099321,0.176641,11881057,3.43327
s0074,AP028696,AP302,9D,11MIR_0009,4478,Alosa,pseudoharengus,Canada,Miramichi River,Miramichi River,MIR,CAN,11884669,0,1976096,0.166273,11881438,3.63125
s0075,AP028697,AP302,9E,11MIR_0010,4478,Alosa,pseudoharengus,Canada,Miramichi River,Miramichi River,MIR,CAN,11884669,0,2559452,0.215357,11881718,2.73516
s0076,AP028698,AP302,9F,ASAME4,4478,Alosa,pseudoharengus,Maine,Saco River,Saco River,SAC,NNE,11884669,0,4198056,0.353233,11883192,1.79203
s0077,AP028700,AP302,9H,CP-7,4478,Alosa,pseudoharengus,Maryland,Choptank River,Choptank River,CHOP,MAT,11884669,0,2136707,0.179787,11881416,3.24413
s0078,AP028701,AP302,10A,CP-8,4478,Alosa,pseudoharengus,Maryland,Choptank River,Choptank River,CHOP,MAT,11884669,0,2048692,0.172381,11881483,3.60452
s0079,AP028703,AP302,10C,11PET_0002,4478,Alosa,aestivalis,Canada,Petitcodiac River,Petitcodiac River,PET,BCAN,11884669,0,5361227,0.451104,11826557,3.29139
s0080,AP028704,AP302,10D,BHUNY100,5618,Alosa,aestivalis,New York,Hudson River,Hudson River,BHUD,BMAT,11884669,0,5111440,0.430087,11827966,3.62876
s0081,AP028705,AP302,10E,BHUNY101,5618,Alosa,aestivalis,New York,Hudson River,Hudson River,BHUD,BMAT,11884669,0,5334604,0.448864,11829134,3.54999
s0082,AP028706,AP302,10F,BALGA15,4442,Alosa,aestivalis,Georgia,Altamaha River,Altamaha River,ALT,BSAT,11884669,0,5504312,0.463144,11827406,3.2317
s0083,AP028707,AP302,10G,BALGA16,4442,Alosa,aestivalis,Georgia,Altamaha River,Altamaha River,ALT,BSAT,11884669,0,5768197,0.485348,11832019,3.12395
s0084,AP028708,AP302,10H,LHAR_0032,4442,Alosa,aestivalis,Georgia,Savannah River,Lake Hartwell,HAR,BSAT,11884669,0,6183799,0.520317,11833035,2.8102
s0085,AP028710,AP302,11B,LS_0004,4478,Alosa,pseudoharengus,Wisconsin,Great Lakes,Lake Superior,SUP,GRT,11884669,0,4220090,0.355087,11880600,1.81188
s0086,AP028712,AP302,11D,KLVA39,4478,Alosa,pseudoharengus,North Carolina,Roanoke River,Roanoke River,ROAN,MAT,11884669,0,2396257,0.201626,11880568,3.08884
s0087,AP028714,AP302,11F,SL_0043,4478,Alosa,pseudoharengus,New York,Finger Lakes,Seneca Lake,SEN,FIN,11884669,0,2595184,0.218364,11881020,3.10025
s0088,AP028715,AP302,11G,CL_0008,4478,Alosa,pseudoharengus,New York,Finger Lakes,Canandaigua Lake,CAN,FIN,11884669,0,2821120,0.237375,11880877,2.64831
s0089,AP028721,AP302,12E,ASAME6,4478,Alosa,pseudoharengus,Maine,Saco River,Saco River,SAC,NNE,11884669,0,4195157,0.352989,11883207,1.71258
s0090,AP028723,AP302,12G,11PET_0003,4442,Alosa,aestivalis,Canada,Petitcodiac River,Petitcodiac River,PET,BCAN,11884669,0,6377520,0.536617,11837266,2.68747
s0091,AP028725,AP303,1A,LM_0013,5618,Alosa,pseudoharengus,Michigan,Great Lakes,Lake Michigan,MICH,GRT,11884669,0,3094224,0.260354,11881349,2.4541
s0092,AP028728,AP303,1D,LM_0056,5618,Alosa,pseudoharengus,Michigan,Great Lakes,Lake Michigan,MICH,GRT,11884669,0,2640678,0.222192,11881904,3.40432
s0093,AP028731,AP303,1G,LO_014,5618,Alosa,pseudoharengus,New York,Great Lakes,Lake Ontario,ONT,GRT,11884669,0,2153731,0.181219,11879986,3.30571
s0094,AP028734,AP303,2B,SAC_042,5618,Alosa,pseudoharengus,Maine,Saco River,Saco River,SAC,NNE,11884669,0,1459269,0.122786,11881310,4.92833
